task,user_prompt,additional_args
retrieval,Why would I pick a specific ETF over an equivalent Mutual Fund?,"{""true_qrel_list"": [""539263"", ""195191"", ""377429""]}"
retrieval,Is there any US bank that does not charge for incoming wire transfers?,"{""true_qrel_list"": [""175524"", ""364112"", ""244185"", ""444162""]}"
retrieval,How come we can find stocks with a Price-to-Book ratio less than 1?,"{""true_qrel_list"": [""74615"", ""154725"", ""558617"", ""526110""]}"
retrieval,At what age should I start or stop saving money?,"{""true_qrel_list"": [""81106"", ""396127"", ""553288"", ""551954"", ""529444"", ""305946"", ""538023""]}"
retrieval,How do you translate a per year salary into a part-time per hour job?,"{""true_qrel_list"": [""589970"", ""263481"", ""470289"", ""225718"", ""426278"", ""62882""]}"
retrieval,New car: buy with cash or 0% financing,"{""true_qrel_list"": [""280805"", ""568670"", ""224057"", ""22804"", ""125986""]}"
retrieval,Retirement Funds: Betterment vs Vanguard Life strategy vs Target Retirement,"{""true_qrel_list"": [""105666"", ""583549"", ""451196""]}"
retrieval,Why can't you just have someone invest for you and split the profits (and losses) with him?,"{""true_qrel_list"": [""211867"", ""247486"", ""381757"", ""447619"", ""566573"", ""410166"", ""211622"", ""474234"", ""306430"", ""268261"", ""352271"", ""543714"", ""146441"", ""265874"", ""134864""]}"
retrieval,Is it possible to transfer stock I already own into my Roth IRA without having to sell the stock?,"{""true_qrel_list"": [""32811""]}"
retrieval,What to do when a job offer is made but with a salary less than what was asked for?,"{""true_qrel_list"": [""197052"", ""524471"", ""432808"", ""191977"", ""280838"", ""432020""]}"
retrieval,Probablity of touching In the money vs expiring in the money for an american option,"{""true_qrel_list"": [""6771""]}"
retrieval,Is it ever a good idea to close credit cards?,"{""true_qrel_list"": [""326094"", ""365263"", ""218088"", ""252534"", ""381720"", ""235452"", ""170204"", ""416679"", ""334111"", ""2460"", ""368806"", ""258465""]}"
retrieval,How much is inflation?,"{""true_qrel_list"": [""238234"", ""147646"", ""414188"", ""67676""]}"
retrieval,Bucketing investments to track individual growths,"{""true_qrel_list"": [""232311""]}"
retrieval,Pay off credit card debt or earn employer 401(k) match?,"{""true_qrel_list"": [""53544"", ""202768"", ""353625"", ""293531"", ""249063"", ""79363"", ""330058"", ""91183""]}"
retrieval,"If the U.S. defaults on its debt, what will happen to my bank money?","{""true_qrel_list"": [""41312"", ""313306"", ""453941"", ""504661"", ""229310"", ""210759"", ""400826""]}"
retrieval,Co-signer deceased,"{""true_qrel_list"": [""305509"", ""138845""]}"
retrieval,How can I live outside of the rat race of American life with 300k?,"{""true_qrel_list"": [""129364"", ""183869"", ""234950"", ""389028"", ""233562"", ""316794""]}"
retrieval,Strategies to recover from a bad short-term call options purchase where the underlying dropped instead?,"{""true_qrel_list"": [""214003"", ""267113""]}"
retrieval,Do I need a new EIN since I am hiring employees for my LLC?,"{""true_qrel_list"": [""366761""]}"
retrieval,Short selling - lender's motivation,"{""true_qrel_list"": [""356161"", ""329662""]}"
retrieval,How can I deposit a check made out to my business into my personal account?,"{""true_qrel_list"": [""413229"", ""590102"", ""268026"", ""248624"", ""508754"", ""64556""]}"
retrieval,Is it bad practice to invest in stocks that fluctuate by single points throughout the day?,"{""true_qrel_list"": [""146632"", ""45185"", ""122485"", ""278450""]}"
retrieval,"Which is better when working as a contractor, 1099 or incorporating?","{""true_qrel_list"": [""220022"", ""589398"", ""532932"", ""352838"", ""539133"", ""352640""]}"
retrieval,Short Term Capital Gains tax vs. IRA Withdrawal Tax w/o Quarterly Est. Taxes,"{""true_qrel_list"": [""155053"", ""321015""]}"
retrieval,How to bet against the London housing market?,"{""true_qrel_list"": [""387141"", ""357739""]}"
retrieval,What is the difference between a 'trader' and a 'stockbroker'?,"{""true_qrel_list"": [""57711"", ""131996""]}"
retrieval,Is is possible to dispute IRS underpayment penalties?,"{""true_qrel_list"": [""451935"", ""46737"", ""314455"", ""342756""]}"
retrieval,How long do credit cards keep working after you disappear?,"{""true_qrel_list"": [""337165"", ""409184""]}"
retrieval,How to incorporate dividends while calculating annual return of a Stock,"{""true_qrel_list"": [""332567""]}"
retrieval,How to account for money earned and spent prior to establishing business bank accounts?,"{""true_qrel_list"": [""73427""]}"
retrieval,I might use a credit card convenience check. What should I consider?,"{""true_qrel_list"": [""172128"", ""565745"", ""114829""]}"
retrieval,"Calculation, timing, and taxes related to profit distribution of an S-corp?","{""true_qrel_list"": [""150219"", ""385073""]}"
retrieval,Can a Roth IRA be used as a savings account?,"{""true_qrel_list"": [""455398"", ""461592""]}"
retrieval,How to rescue my money from negative interest?,"{""true_qrel_list"": [""404352"", ""200690"", ""312248"", ""404356"", ""374400"", ""61586"", ""514003"", ""193459"", ""245616"", ""353028""]}"
retrieval,Why can't house prices be out of tune with salaries,"{""true_qrel_list"": [""418034"", ""259777"", ""31663"", ""151774"", ""374480"", ""473765"", ""298065"", ""596834"", ""497260""]}"
retrieval,"In US, is it a good idea to hire a tax consultant for doing taxes?","{""true_qrel_list"": [""442110"", ""556976"", ""160301"", ""488574"", ""498834"", ""395483"", ""277583""]}"
retrieval,Can the risk of investing in an asset be different for different investors?,"{""true_qrel_list"": [""218728"", ""292609"", ""196304"", ""396038""]}"
retrieval,"What intrinsic, non-monetary value does gold have as a commodity?","{""true_qrel_list"": [""352485"", ""69485"", ""337764"", ""156211"", ""426270"", ""209804""]}"
retrieval,Sole proprietorship or LLC?,"{""true_qrel_list"": [""510701""]}"
retrieval,Formula that predicts whether one is better off investing or paying down debt,"{""true_qrel_list"": [""240261"", ""561056"", ""111815"", ""393833"", ""39819""]}"
retrieval,Can I transfer my investment property into a SMSF?,"{""true_qrel_list"": [""533791""]}"
retrieval,Is there any flaw in this investment scheme?,"{""true_qrel_list"": [""67107"", ""240215""]}"
retrieval,"HSBC Hong Kong's “Deposit Plus” Product: What is it, and what strategies to employ?","{""true_qrel_list"": [""496857"", ""282392"", ""213824""]}"
retrieval,"Starting an investment portfolio with Rs 5,000/-","{""true_qrel_list"": [""272021"", ""472585""]}"
retrieval,Where should a young student put their money?,"{""true_qrel_list"": [""521996"", ""328691""]}"
retrieval,Why does Charles Schwab have a Mandatory Settlement Period after selling stocks?,"{""true_qrel_list"": [""28314"", ""506374"", ""93231"", ""156029"", ""406974"", ""499849"", ""566591""]}"
retrieval,How does a bank make money on an interest free secured loan?,"{""true_qrel_list"": [""396853"", ""106424"", ""400009"", ""119298"", ""83330"", ""366594"", ""279897"", ""253563"", ""130850""]}"
retrieval,Pros/cons of borrowing money using a mortgage loan and investing it in a low-fee index fund?,"{""true_qrel_list"": [""577951"", ""582005"", ""105634"", ""305287"", ""5152""]}"
retrieval,How does “taking over payments” work?,"{""true_qrel_list"": [""423272"", ""421136""]}"
retrieval,Need a formula to determine monthly payments received at time t if I'm reinvesting my returns,"{""true_qrel_list"": [""518896"", ""203091""]}"
retrieval,Why might it be advisable to keep student debt vs. paying it off quickly?,"{""true_qrel_list"": [""135415"", ""478457"", ""345895"", ""73310"", ""384626"", ""176498"", ""149500"", ""572272"", ""414288"", ""507544"", ""390689"", ""414534"", ""270856""]}"
retrieval,Pros / cons of being more involved with IRA investments [duplicate],"{""true_qrel_list"": [""286227"", ""309361""]}"
retrieval,Investment strategy for 401k when rolling over soon,"{""true_qrel_list"": [""222485"", ""483268""]}"
retrieval,Is it true that 90% of investors lose their money?,"{""true_qrel_list"": [""116647"", ""222639"", ""135845"", ""167950"", ""282435"", ""399149"", ""507284""]}"
retrieval,Better to rent condo to daughter or put her on title?,"{""true_qrel_list"": [""496166"", ""169824"", ""44344""]}"
retrieval,what would you do with $100K saving?,"{""true_qrel_list"": [""579763"", ""546538"", ""187404""]}"
retrieval,Should you always max out contributions to your 401k?,"{""true_qrel_list"": [""302512"", ""273497"", ""309200"", ""508921"", ""434190"", ""279570"", ""497216"", ""552887"", ""341146"", ""199970""]}"
retrieval,IS it the wrong time to get into the equity market immediately after large gains?,"{""true_qrel_list"": [""153178"", ""104343"", ""296231""]}"
retrieval,Should I re-allocate my portfolio now or let it balance out over time?,"{""true_qrel_list"": [""273761"", ""507468"", ""2653"", ""179328""]}"
retrieval,To whom should I report fraud on both of my credit cards?,"{""true_qrel_list"": [""581889"", ""315875""]}"
retrieval,Can a trade happen “in between” the bid and ask price?,"{""true_qrel_list"": [""494727"", ""442048"", ""122996"", ""197839""]}"
retrieval,Why don't share prices of a company rise every other Friday when the company buys shares for its own employees?,"{""true_qrel_list"": [""102449"", ""587137"", ""3656"", ""156358""]}"
retrieval,"Beyond RRSP deductions, how does a high income earner save on taxes?","{""true_qrel_list"": [""441120""]}"
retrieval,Best way to make most of savings with ISA and Offset mortgage,"{""true_qrel_list"": [""523058""]}"
retrieval,What does it mean if “IPOs - normally are sold with an `underwriting discount` (a built in commission)”,"{""true_qrel_list"": [""568526"", ""13732""]}"
retrieval,Net Cash Flows from Selling the Bond and Investing,"{""true_qrel_list"": [""158363"", ""599925""]}"
retrieval,How do I analyse moving averages?,"{""true_qrel_list"": [""257185"", ""565501"", ""447781""]}"
retrieval,Is investing exlusively in a small-cap index fund a wise investment?,"{""true_qrel_list"": [""323363"", ""513818"", ""76996""]}"
retrieval,Does a company's stock price give any indication to or affect their revenue?,"{""true_qrel_list"": [""371720"", ""52579"", ""505694"", ""431814"", ""576564""]}"
retrieval,What is the easiest way to back-test index funds and ETFs?,"{""true_qrel_list"": [""445971"", ""342258"", ""129319"", ""570664""]}"
retrieval,What industries soar when oil prices go up?,"{""true_qrel_list"": [""250028"", ""308633""]}"
retrieval,Trading on exchanges or via brokerage companies?,"{""true_qrel_list"": [""272008"", ""404339""]}"
