task,user_prompt,ground_truth,additional_args
retrieval,what are herbaceous perennials,Herbaceous perennials are garden plants that die back to the soil line when winter temperatures arrive.,"{""true_qrel_list"": [""47_2""]}"
retrieval,what type of blood types are there,"A, B, AB, and O blood types","{""true_qrel_list"": [""48_0""]}"
retrieval,how long to dwarf hamsters live,2 to 2.5 years,"{""true_qrel_list"": [""49_3""]}"
retrieval,what is the element family for plutonium,Transuranium element or Actinide family,"{""true_qrel_list"": [""50_1"",""50_2""]}"
retrieval,where was miranda lambert born and raised,"Miranda Lambert was born in Longview, Texas, and was raised in Lindale, Texas.","{""true_qrel_list"": [""51_4""]}"
retrieval,what is commercial leasing,A Commercial Lease Agreement is a contract used when renting business property to or from another individual or company. It gives the tenant (or renter) the right to use the property for business purposes during the term of the lease in exchange for payment to the landlord.,"{""true_qrel_list"": [""52_8""]}"
retrieval,what does the name lalita mean,"In Sanskrit the meaning of the name Lalita is: Pleasant; Playful. It means charming, desirable and playful.","{""true_qrel_list"": [""53_0"",""53_6""]}"
retrieval,how long is your average period last,3 to 5 days,"{""true_qrel_list"": [""54_1""]}"
retrieval,what is reabsorbed in the proximal convoluted tubule,The proximal convoluted tubule is the site where majority (65%) of ions and water in the urinary space is reabsorbed back into the body.,"{""true_qrel_list"": [""55_3""]}"
retrieval,what day did president obama declare the war is over,10/21/11,"{""true_qrel_list"": [""56_3""]}"
retrieval,what is torso,A sculptured representation of the trunk of a human body.,"{""true_qrel_list"": [""57_5""]}"
retrieval,how fast are hurricanes,74 mph,"{""true_qrel_list"": [""58_5""]}"
retrieval,what did ancient greeks live in,Greece,"{""true_qrel_list"": [""59_2""]}"
retrieval,what does glucose blood test mean,"A blood test that tells you if your level of glucose, or blood sugar, is within a healthy range. Fasting plasma glucose, or FPG, is a common test used to diagnose and monitor diabetes or prediabetes.","{""true_qrel_list"": [""60_4""]}"
retrieval,who was william beveridge,"The master of University College, Oxford.","{""true_qrel_list"": [""61_4""]}"
retrieval,how to reset an iphone with buttons,Step 1: Press and hold the Home button (at the bottom of iPhone) and the Sleep/Wake button (on top of the iPhone) simultaneously.Step 2: Hold both buttons until the iPhone shuts off and begins to restart. Let it go when you see the Apple logo appear on screen.,"{""true_qrel_list"": [""62_1""]}"
retrieval,where was the bauhaus built,Germany,"{""true_qrel_list"": [""63_6""]}"
retrieval,prepositional phrases that modify a verb are called,Adverbial phrase,"{""true_qrel_list"": [""64_2""]}"
retrieval,what are some diseases caused diabetes,"High blood sugar include frequent urination, increased thirst, and increased hunger.","{""true_qrel_list"": [""65_9""]}"
retrieval,average cost of patio roof,"$6,000 to $10,000 for an area of 20 by 20 feet","{""true_qrel_list"": [""66_3""]}"
retrieval,average cost to process an invoice,Average cost to process an invoice is about $7.00. In other places it is $24,"{""true_qrel_list"": [""67_2"",""67_6""]}"
retrieval,how much do eddie stobart pay,"Approximately £14,000 per year for Purchase Ledger Clerk to £55,000 per year for Night Manager.","{""true_qrel_list"": [""68_6""]}"
retrieval,do turtles carry disease,Yes,"{""true_qrel_list"": [""69_1""]}"
retrieval,is sponsorship advertising,Yes,"{""true_qrel_list"": [""70_7""]}"
retrieval,how much does itunes cost,$0.99-$1.29 for songs and $1.49-$1.99 for videos,"{""true_qrel_list"": [""71_5""]}"
retrieval,the terms of the treaty of versailles for kids,"The Treaty of Versailles of 1919 is the peace treaty created as a result of six months of negotiations at the Paris Peace Conference of 1919, which put an official end to World War I between the Allies and Central Powers, but if it brought peace rather than war can be disputed.","{""true_qrel_list"": [""72_0""]}"
retrieval,ingested meaning in english,"The process of taking food into the body through the mouth (as by eating). In other words, consumption of a substance by an organism.","{""true_qrel_list"": [""73_0"",""73_5""]}"
retrieval,what is an angiosperm answers,"Angiosperms(a plant whose ovules are enclosed in an ovary) are commonly referred to as flowering plants,as opposed to Gymnosperms,or cone bearing plants.","{""true_qrel_list"": [""74_5""]}"
retrieval,average cost to install egress window,$1100 to $2600,"{""true_qrel_list"": [""75_3""]}"
retrieval,where are rattlesnakes found in the world,"North and South America,Southwestern United States and in Northern Mexico.","{""true_qrel_list"": [""76_2""]}"
retrieval,average price per pound for chicken foster farm,$1.29 a pound.,"{""true_qrel_list"": [""77_1""]}"
retrieval,where is meadowbank,"New South Wales, Australia.","{""true_qrel_list"": [""78_7""]}"
retrieval,"Life expectancy in lincoln, ne","In north Lincoln, life expectancy is in the mid to upper 70's, east Lincoln about 85 years and southwest Lincoln, about 80 years. ","{""true_qrel_list"": [""79_3""]}"
retrieval,what does pale stool mean,Pale stool is stool (feces) that is unusually light in color instead of medium to dark brown.,"{""true_qrel_list"": [""80_1""]}"
retrieval,what is iron vitamin good for,Absorption,"{""true_qrel_list"": [""81_6""]}"
retrieval,what is a substation,"Part of an electrical generation, transmission, and distribution system.","{""true_qrel_list"": [""82_4""]}"
retrieval,what is foie gras,"Foie gras (/ˌfwɑːˈɡrɑː/ , French for fat liver) is a luxury food product made of the liver of a duck or goose that has been specially fattened.","{""true_qrel_list"": [""83_5""]}"
retrieval,salary increase in mtn,8.33%,"{""true_qrel_list"": [""84_4""]}"
retrieval,how long to broil round steak,10 minutes,"{""true_qrel_list"": [""85_4""]}"
retrieval,when was maurice tillet born,"October 23, 1903","{""true_qrel_list"": [""86_2""]}"
retrieval,what are lox food,It refers to salmon cured in a salt-sugar rub or brine (like gravlax).,"{""true_qrel_list"": [""87_0""]}"
retrieval,cost to build walmart supercenter,$18.5 million,"{""true_qrel_list"": [""88_8""]}"
retrieval,how to use a semicolon in a letter,"A semicolon can be used between two closely related independent clauses, provided they are not already joined by a coordinating conjunction.Semicolons can also be used in place of commas to separate items in a list, particularly when the elements of that list contain commas.","{""true_qrel_list"": [""89_3""]}"
retrieval,who is stephen hawking family,"Stephen William Hawking was born in Oxford, England to Frank and Isobel Hawking. His parents had two other children, Mary (1943) and Philippa (1947) and adopted their second son, Edward, in 1956.","{""true_qrel_list"": [""90_5""]}"
retrieval,is randolph mantooth married,Yes,"{""true_qrel_list"": [""91_3""]}"
retrieval,what is dynamic muscle contraction,"A muscle contracting normally, we tend to think of the muscle shortening as it generates force. Muscles refers to a contraction where by movement occurs.","{""true_qrel_list"": [""92_2"",""92_9""]}"
retrieval,electrician rates per hour,$40 to $100 an hour,"{""true_qrel_list"": [""93_7""]}"
retrieval,what kind of insurance does a court reporter need,Commercial General Liability and Professional Liability.,"{""true_qrel_list"": [""94_6""]}"
retrieval,do i need to send photos for passport renewal,Yes,"{""true_qrel_list"": [""95_0""]}"
retrieval,who won the second battle of bull run,The second was won by Robert E. Lee and T.J. (Stonewall) Jackson.,"{""true_qrel_list"": [""96_5""]}"
retrieval,how long can you keep egg salad in fridge,Three to five days.,"{""true_qrel_list"": [""97_2""]}"
retrieval,what is EIFS system,Exterior Insulation Finish Systems (EIFS) or commonly known as Dryvit or Synthetic Stucco is an exterior cladding used on residential and commercial/industrial properties in the US since the 1960’s.,"{""true_qrel_list"": [""98_5""]}"
retrieval,what does accent,"Manner of pronunciation peculiar to a particular individual, location, or nation.","{""true_qrel_list"": [""99_3""]}"
retrieval,what cut is a bolar roast,Beef for making sandwiches.,"{""true_qrel_list"": [""100_3""]}"
retrieval,what is malta known for,"One of the Mediterranean's largest concentrations of English language schools, some of the world's best diving centers, world class yachting and cruise line facilities, a highly developed visitor and convention infrastructure and above all a friendly, worldly population of natives.","{""true_qrel_list"": [""101_4""]}"
retrieval,what type of epithelial tissue lines kidney tubules,Simple cuboidal epithelium,"{""true_qrel_list"": [""102_0""]}"
retrieval,what kind of liquid is custard,A custard is a liquid that is thickened with eggs. The liquid is usually some kind of milk or cream. Some custards contain whole eggs and some just egg yolks.,"{""true_qrel_list"": [""103_0""]}"
retrieval,does late pregnancy delay menopause,Yes,"{""true_qrel_list"": [""104_6""]}"
retrieval,what does the initial fee cover,"The initial franchise fee covers the cost of training, recruiting, territory analysis, site identification, specialist equipment, stationary, franchisee launch, etc.","{""true_qrel_list"": [""105_8""]}"
retrieval,how much should restaurant food cost be,"If a restaurant does $20,000 per week and the total cost of food and beverages is $7,000 for that week, then the food cost is considered 35 percent.","{""true_qrel_list"": [""106_3""]}"
retrieval,allele definition biology quizlet,"It is one specific form of a gene, differing from other alleles by one or a few bases only and occupying the same gene locus as other alleles of the gene.","{""true_qrel_list"": [""107_2""]}"
retrieval,what is rationalization in sociology,"in sociology, rationalisation or rationalization refers to the replacement of traditions, values, and emotions as motivators for behavior in society with rational, calculated ones.","{""true_qrel_list"": [""108_3""]}"
retrieval,unconventional means,"1. not conforming to accepted rules or standards. 2. not conventional or conformist. 3. not conforming to legality, moral law, or social convention.","{""true_qrel_list"": [""109_6""]}"
retrieval,dea special agent physical requirements,Applicants must be at least 21 years of age and no more than 36 years of age at the time of appointment. Competitive candidates for these coveted positions have a bachelor’s or master’s degree with a GPA of 2.95 or higher.,"{""true_qrel_list"": [""110_5""]}"
retrieval,what is perindopril,"Perindopril is a long-acting ACE inhibitor used to treat high blood pressure, heart failure, or stable coronary artery disease in form of perindopril arginine (trade names include Coversyl, Coversum) or perindopril erbumine (Aceon).","{""true_qrel_list"": [""111_6""]}"
retrieval,how long do a medical office keep medical records,25 years or Six years,"{""true_qrel_list"": [""112_1"",""112_4""]}"
retrieval,how long can you be on dialysis,Average life expectancy on dialysis is 5-10 years.,"{""true_qrel_list"": [""113_1""]}"
retrieval,meaning of accorded,"To give or grant, especially as being due or appropriate.","{""true_qrel_list"": [""114_1""]}"
retrieval,reasons for the sinking of the titanic,An obvious possible reason for the Titanic sinking is the weather on the Atlantic during the time of the tragedy. ,"{""true_qrel_list"": [""115_0""]}"
retrieval,what is normal pulse pressure range,It wis the difference between the systolic and diastolic pressure readings. It is measured in millimeters of mercury (mmHg).,"{""true_qrel_list"": [""116_0""]}"
retrieval,when was clear air act passed,1973,"{""true_qrel_list"": [""117_7""]}"
retrieval,what part of the knee is the acl located,Between the thigh bone and the shin bone.,"{""true_qrel_list"": [""118_6""]}"
retrieval,what is morphine used for,"Morphine injection is used to relieve moderate to severe pain. It may also be used before or during surgery with an anesthetic (medicine that puts you to sleep). In other words, it is primarily used to treat both acute and chronic severe pain.","{""true_qrel_list"": [""119_0"",""119_2""]}"
retrieval,what are malpighian tubules,It is an anatomical structure found in the digestive system of insects that live on land.,"{""true_qrel_list"": [""120_1""]}"
retrieval,vanna white income,$8 million.,"{""true_qrel_list"": [""121_3""]}"
retrieval,the meaning of the name hughes,Surname,"{""true_qrel_list"": [""122_2""]}"
retrieval,what is a pbr panel,A common metal building industry profile.,"{""true_qrel_list"": [""123_8""]}"
retrieval,the behaviorist movement rejected what practice of psychology,"Philosophy, methodology,psychological theory.","{""true_qrel_list"": [""124_7""]}"
retrieval,what is hep a caused by,"The cause of it is hepatitis A virus (HAV) that is transmitted person to person by contaminated foods, water or other drinks (including ice), blood, stool, and direct contact.","{""true_qrel_list"": [""125_2""]}"
retrieval,average price of land in atlanta,$183 per square foot.,"{""true_qrel_list"": [""126_1""]}"
retrieval,how long does it take to fry a chicken leg,20 to 25 minutes,"{""true_qrel_list"": [""128_4""]}"
retrieval,how to make a word in a cell as hyperlink,"To link to a location in your current workbook, click Place in This Document.reate a hyperlink to an existing file or Web page. On a worksheet, click the cell where you want to create a hyperlink. Tip You can also select an object, such as a picture or an element in a chart, that you want to use to represent the hyperlink.","{""true_qrel_list"": [""129_2""]}"
retrieval,what is the given name,"It is a part of a person's full nomenclature.It identifies a specific person, and differentiates that person from other members of a group.","{""true_qrel_list"": [""130_6""]}"
retrieval,highest paid actress ever,Sandra Bullock,"{""true_qrel_list"": [""131_1""]}"
retrieval,height of fence needed to keep deer out,For most deer 2.5 m (8 ft) is adequate but white-tailed deer and elk require at least 2.7 m (9 ft).,"{""true_qrel_list"": [""132_7""]}"
retrieval,where are the ossicles located,The ossicles (also called auditory ossicles) are three bones in either middle ear that are among the smallest bones in the human body.,"{""true_qrel_list"": [""134_0""]}"
retrieval,what is a travel agency,"A travel agency is a private retailer or public service that provides travel and tourism related services to the public on behalf of suppliers such as airlines, car rentals, cruise lines, hotels, railways, and package tours.","{""true_qrel_list"": [""135_0""]}"
retrieval,what is pus and how is it formed,"Pus is a thick, whitish to yellowish material composed primarily of dead cells that generally forms as a by-product of bacterial infections.","{""true_qrel_list"": [""136_1""]}"
retrieval,meaning of name hendrik,"In Teutonic:Rules an estate,Swedish Meaning:rules the home.","{""true_qrel_list"": [""137_6""]}"
retrieval,what are groundnuts,"Groundnuts are a staple food in many developing countries. Also called peanuts, groundnuts are a protein rich tuber that grows well in semi-arid regions.","{""true_qrel_list"": [""138_8""]}"
retrieval,comparative heartbeats per year,35-40 000 000 times a year.,"{""true_qrel_list"": [""139_7""]}"
retrieval,what is polydextrose,Is a synthetic polymer of glucose. It is a food ingredient classified as soluble fiber by the U.S. Food and Drug Administration (FDA) as well as Health Canada.,"{""true_qrel_list"": [""140_2""]}"
retrieval,what is a carrier of a disease,A person who has a change in one copy of a gene.,"{""true_qrel_list"": [""143_0""]}"
retrieval,etymology of name antonio,"The name Antonio is an English baby name. In English the meaning of the name Antonio is: Highly praiseworthy. From a Roman clan name. In the 17th century, the spelling Anthony was associated with the Greek anthos meaning flower.","{""true_qrel_list"": [""149_0""]}"
retrieval,what is the useful energy transferred when coal is burnt,Chemical energy,"{""true_qrel_list"": [""168_0""]}"
retrieval,what government does us have,Federal republic,"{""true_qrel_list"": [""192_0""]}"
retrieval,what is the incubation period for the common cold,"The period in which, a victim will experience runny nose, sneezing, sore throat and congestion in nasal passages.","{""true_qrel_list"": [""194_0""]}"
retrieval,what is protein acetylation,"Most of the proteins in the human body are altered through acetylation. This process involves the addition of an acetyl radical while a hydrogen atom leaves the molecule, so an acetate is formed.","{""true_qrel_list"": [""198_0""]}"
retrieval,actors who played pippin,Billy Boyd,"{""true_qrel_list"": [""200_0""]}"
retrieval,the average cost for university north texas,"$19,800 to $26,826","{""true_qrel_list"": [""216_0""]}"
retrieval,what is virtuoso,A virtuoso is an individual who possesses outstanding technical ability in a particular art or field.,"{""true_qrel_list"": [""227_0""]}"
retrieval,what is chemical sedimentary composed of,Mineral crystals.,"{""true_qrel_list"": [""247_0""]}"
retrieval,how much should it cost to replace a rear wheel bearing,$317 to $440.,"{""true_qrel_list"": [""248_0""]}"
retrieval,What Is Homologous Recombination,A type of genetic recombination in which nucleotide.,"{""true_qrel_list"": [""263_0""]}"
retrieval,how to tell how acidic your body is,"You can find out if your body is acidic or alkaline by measuring its pH. The pH scale ranges from 0, which is very acidic, to 14, which is very basic. Pure water has a pH of 7, which is completely neutral.","{""true_qrel_list"": [""278_0""]}"
retrieval,symptoms of niacin deficiency in ducks,Ducks are with a niacin deficiency show a severe bowing of the legs and an enlargement of the hock joint.,"{""true_qrel_list"": [""287_0""]}"
retrieval,tsh level ranges for pregnancy,In general lower than the normal nonpregnancy level. First trimester: less than 2.5 with a range of 0.1-2.5. Second trimester: 0.2-3.0. Third trimester: 0.3-3.0.,"{""true_qrel_list"": [""299_0""]}"
retrieval,how long does irs take to say refund approved,A week.,"{""true_qrel_list"": [""300_0""]}"
retrieval,what is synthetic oil for,As a substitute for lubricant refined from petroleum when operating in extremes of temperature.,"{""true_qrel_list"": [""314_0""]}"
retrieval,what is modulus of rigidity,The coefficient of elasticity for a shearing or torsion force.,"{""true_qrel_list"": [""321_0""]}"
retrieval,what happens when a homeless felon person dies,"It involves a report to Mark Kassouf, registrar of the Bureau of Vital Statistics.the bodies are usually put into a section of the graveyard that is either unmarked or just has simple white crosses.","{""true_qrel_list"": [""334_0""]}"
retrieval,anaerobic breakdown of glucose produces fragments that accumulate in the muscles and blood called,lactate,"{""true_qrel_list"": [""346_0""]}"
retrieval,what is similar to mineral oil?,Mineral oil is used to distinguish oily substances that came out of the ground from oily substances that are derived from plant.,"{""true_qrel_list"": [""369_0""]}"
retrieval,where is speedway and esperanza map tucson,"The Sendero Esperanza Trailhead is located approximately 6 miles from the Red Hills Visitor Center, 1.5 miles east of the intersection of Hohokam Road and Golden Gate Road.","{""true_qrel_list"": [""371_0""]}"
retrieval,how much does it cost to put up a garage,"The average cost of adding a garage begins at roughly $7,500, and for a two-car garage the average costs will go much higher.","{""true_qrel_list"": [""378_0""]}"
retrieval,what year did us declare independence,1776,"{""true_qrel_list"": [""389_0""]}"
retrieval,are non pathogenic bacteria harmful,No,"{""true_qrel_list"": [""391_0""]}"
retrieval,chiari malformation what is,"Chiari malformation, also known as an Arnold-Chiari malformation, is a congenital (present at birth) defect occurring in the back of the head where the brain and spinal cord connect.","{""true_qrel_list"": [""402_0""]}"
retrieval,how wide is the potomac river,11 miles,"{""true_qrel_list"": [""411_0""]}"
retrieval,how many miles from chicago to denver colorado,1005 miles.,"{""true_qrel_list"": [""428_0""]}"
retrieval,how long does it take for concrete to dry before you can walk on it,1 to 2 days,"{""true_qrel_list"": [""438_0""]}"
retrieval,what is potassium tellurite agar,Potassium tellurite agar is selective for the growth of Staphylococci and is somewhat selective for the growth of Corynebacteria.,"{""true_qrel_list"": [""440_0"",""440_1""]}"
retrieval,dna must be replicated prior to what event,Mitosis,"{""true_qrel_list"": [""442_0""]}"
retrieval,bacterial cell ribosomes function,Its main function is to serve as the site of mRNA translation and protein synthesis.,"{""true_qrel_list"": [""449_0""]}"
retrieval,article definition constitution,"The Constitution, originally comprising seven articles, delineates the national frame of government.","{""true_qrel_list"": [""455_0""]}"
retrieval,keratotomy definition,"Surgical incision into the cornea. eye operation, eye surgery-any surgical procedure involving the eyes.","{""true_qrel_list"": [""481_0""]}"
retrieval,average home price in sumter sc,"$133,900","{""true_qrel_list"": [""488_0""]}"
retrieval,how long does it take to start collecting disability if you have a lawyer,Three years,"{""true_qrel_list"": [""502_0""]}"
retrieval,what is the test called for thyroid,Thyroxine test and TSH test .,"{""true_qrel_list"": [""507_0""]}"
retrieval,what is carbon cycle,"It is the biogeochemical cycle by which carbon is exchanged among the biosphere, pedosphere, geosphere, hydrosphere, and atmosphere of the Earth.","{""true_qrel_list"": [""510_0""]}"
retrieval,what is medical terminology,"Medical terminology is the language of healthcare. A solid understanding of this language is important for health care professionals and patients alike.Healthcare providers use medical terminology to describe body parts, diseases, procedures, equipment, and more.","{""true_qrel_list"": [""511_0""]}"
retrieval,what is a doyenne,"The word doyen (doyenne in the feminine grammatical gender) is derived from the French term for dean, e.g.Dean (religion) and Dean (education) . In the English language, its meaning has extended to refer to any senior member of a group, particularly one whose knowledge or abilities exceed that of other members.","{""true_qrel_list"": [""515_0""]}"
retrieval,what is ebv test,"It is a blood test, or group of tests, to determine the presence or absence of antibodies in the blood stream directed against proteins of the Epstein-Barr virus, the cause of infectious mononucleosis.efinition.","{""true_qrel_list"": [""519_0""]}"
retrieval,are camels considered scavengers,Yes,"{""true_qrel_list"": [""525_0""]}"
retrieval,what is the delivery time for priority mail express,1 to 2 days,"{""true_qrel_list"": [""528_0""]}"
retrieval,In what form does calcium exist,"A supplemental form of calcium can be delivered in the form of calcium ascorbate, which delivers the essential organic calcium, with the addition of vitamin C.","{""true_qrel_list"": [""538_0""]}"
retrieval,describe the antebellum reform movement period,"As a response to increasing social ills, the nineteenth century generated reform movements: temperance, abolition, school and prison reform, as well as others.","{""true_qrel_list"": [""541_0""]}"
retrieval,what is a plant operator,A plant operator is a person who supervises the operation of an industrial plant.,"{""true_qrel_list"": [""542_0""]}"
retrieval,actual cost of cremation,"$500 to over $3,000","{""true_qrel_list"": [""551_0""]}"
retrieval,nitrofurantoin dosage for uti,The recommended dose of nitrofurantoin for treating urinary tract infections in children (age one month and older) is based on body weight,"{""true_qrel_list"": [""560_0""]}"
retrieval,can i apply for multiple jobs,Yes,"{""true_qrel_list"": [""582_0""]}"
retrieval,define celestial equator astronomy,"The celestial equator is inclined by 23.4° to the ecliptic plane. The image shows the relations between Earth's axial tilt (or obliquity), rotation axis and plane of orbit. The celestial equator is a great circle on the imaginary celestial sphere, in the same plane as the Earth 's equator.","{""true_qrel_list"": [""588_0""]}"
retrieval,gestation period for zebra,The gestation period for zebra reproduction takes around 12 to 13 months.,"{""true_qrel_list"": [""603_0""]}"
retrieval,how much does a chiropractor charge,$50-$150,"{""true_qrel_list"": [""606_0""]}"
retrieval,mechanical errors definition,It is the consequence of quick writing where the focus is on the content rather than the form.,"{""true_qrel_list"": [""615_0""]}"
retrieval,what types of transport are utilized during glucose reabsorption and where do they occur,The passive transport supplies a cell with glucose.Move from an area of high concentration to an area of low concentration.,"{""true_qrel_list"": [""619_0""]}"
retrieval,anatomy where is your liver,The right side of the belly.,"{""true_qrel_list"": [""635_0"",""635_1""]}"
retrieval,what is a coggins,Coggins is actually just the name of a test that is performed on horses.,"{""true_qrel_list"": [""637_0""]}"
retrieval,how much do the average paramedics make in the usa,"$46,690.","{""true_qrel_list"": [""643_0""]}"
retrieval,how much does a physiotherapist earn,"The average annual salary for physiotherapist in the US ranges from $55,083 to $91,242.","{""true_qrel_list"": [""645_0""]}"
retrieval,how long is the recovery time for a partial corneal transplant,Twelve months or longer,"{""true_qrel_list"": [""655_0""]}"
retrieval,reheating lasagna internal temperature,165°F,"{""true_qrel_list"": [""657_0""]}"
retrieval,how long does it take for monarch butterfly eggs to hatch,3-5 days,"{""true_qrel_list"": [""666_0""]}"
retrieval,why is granite rock different colors,"It composed mainly of quartz and feldspar with minor amounts of mica, amphiboles and other minerals.This mineral composition usually gives granite a red, pink, gray or white color with dark mineral grains visible throughout the rock.","{""true_qrel_list"": [""668_0""]}"
